id	nome parcheggio		Latitudine	Longitudine		Latitudine	Longitudine		provincia	comune	indirizzo	info
37	Piazza Leonardo da Vinci - Albaro		44.3978052	8.9644713		"44°23'51"""	"8°57'53"""		GENOVA	GENOVA	Piazza Leonardo da Vinci - Albaro	
38	Piazza Massena - Cornigliano		44.4164687	8.8761026		"44°24'59"""	"8°52'33"""		GENOVA	GENOVA	Piazza Massena - Cornigliano	
39	Piazza Merani - Albaro		44.3969746	8.9530725		"44°23'48"""	"8°57'11"""		GENOVA	GENOVA	Piazza Merani - Albaro	
40	Piazza Tommaseo 		44.4017353	8.954418		"44°24'06"""	"8°57'14"""		GENOVA	GENOVA	Piazza Tommaseo 	ang. via Pozzo
41	Piazza del Ferro - Garibaldi		44.4104548	8.9336963		"44°24'37"""	"8°56'01"""		GENOVA	GENOVA	Piazza del Ferro - Garibaldi	
42	Piazzale Bligny - Molassana		44.4397676	8.9644824		"44°26'23"""	"8°57'52"""		GENOVA	GENOVA	Piazzale Bligny - Molassana	
43	Quarto - Via 5 Maggio (monumento)		44.3879795	8.9948634		"44°23'16"""	"8°59'41"""		GENOVA	GENOVA	Quarto - Via 5 Maggio (monumento)	Via 5 Maggio (vicino monumento)
44	Quarto - park interno ASL3		44.3975411	8.9882766		"44°23'51"""	"8°59'17"""		GENOVA	GENOVA	Quarto - park interno ASL3	Via G. Maggio (park interno ASL)
45	Quinto - Via Gianelli		44.3842864	9.0197233		"44°23'03"""	"9°01'11"""		GENOVA	GENOVA	Quinto - Via Gianelli	
46	Sestri Ponente - Largo Coppi		44.4243081	8.8493034		"44°25'28"""	"8°50'57"""		GENOVA	GENOVA	Sestri Ponente - Largo Coppi	
47	Sestri Ponente - Via Hermada		44.4235829	8.8534421		"44°25'24"""	"8°51'11"""		GENOVA	GENOVA	Sestri Ponente - Via Hermada	Via Hermada angolo Via Giotto
48	Sturla - Via 5 Maggio		44.3919462	8.9861856		"44°23'32"""	"8°59'07"""		GENOVA	GENOVA	Sturla - Via 5 Maggio	Sturla - Di fronte piscina sportiva sturla
49	Via Canepari - Certosa		44.4339965	8.892856		"44°26'01"""	"8°53'33"""		GENOVA	GENOVA	Via Canepari - Certosa	Via Canepari ang Via Jori
50	Via Cantore - Sampierdarena		44.4113091	8.8958245		"44°24'41"""	"8°53'44"""		GENOVA	GENOVA	Via Cantore - Sampierdarena	Via Cantore - altezza Villa Scassi
51	Via Cavallotti - Boccadasse		44.3902757	8.9740199		"44°23'24"""	"8°58'26"""		GENOVA	GENOVA	Via Cavallotti - Boccadasse	Via Cavallotti
52	Via Fillak - Rivarolo		44.4222134	8.8887365		"44°25'20"""	"8°53'19"""		GENOVA	GENOVA	Via Fillak - Rivarolo	
53	Via Fillak / Brin - Certosa		44.4284793	8.8932941		"44°25'42"""	"8°53'35"""		GENOVA	GENOVA	Via Fillak / Brin - Certosa	
54	Via Molteni - Sampierdarena		44.4125721	8.8868834		"44°24'46"""	"8°53'13"""		GENOVA	GENOVA	Via Molteni - Sampierdarena	
55	Via Napoli		44.4225882	8.9200411		"44°25'21"""	"8°55'12"""		GENOVA	GENOVA	Via Napoli	
56	Via Petrarca / Piazza Matteotti		44.4066255	8.9341639		"44°24'25"""	"8°55'56"""		GENOVA	GENOVA	Via Petrarca / Piazza Matteotti	Via Petrarca ang p.zza De Ferrari
57	Via Piacenza Gavette		44.4341646	8.96064		"44°26'04"""	"8°57'37"""		GENOVA	GENOVA	Via Piacenza Gavette	
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
